HomeTeam,avg_goals_for_home,avg_goals_against_home,avg_shots_home,avg_shots_on_target_home,avg_corners_home,avg_fouls_home,avg_yellows_home,avg_reds_home,avg_goals_for_away,avg_goals_against_away,avg_shots_away,avg_shots_on_target_away,avg_corners_away,avg_fouls_away,avg_yellows_away,avg_reds_away
Arsenal,2.0526315789473686,1.0105263157894737,16.91578947368421,5.768421052631579,6.8,9.821052631578947,1.3894736842105264,0.06315789473684211,1.7789473684210526,1.0210526315789474,13.021052631578947,4.421052631578948,5.273684210526316,9.884210526315789,1.6,0.11578947368421053
Aston Villa,1.8210526315789475,1.3157894736842106,13.715789473684211,5.052631578947368,5.863157894736842,10.736842105263158,1.8631578947368421,0.06315789473684211,1.2526315789473683,1.4,11.48421052631579,4.0,5.094736842105263,11.115789473684211,2.2,0.06315789473684211
Bournemouth,1.2280701754385965,1.263157894736842,13.719298245614034,4.807017543859649,5.894736842105263,12.68421052631579,1.912280701754386,0.07017543859649122,1.3859649122807018,1.9649122807017543,12.192982456140351,4.315789473684211,4.7894736842105265,12.070175438596491,2.3859649122807016,0.03508771929824561
Brentford,1.6578947368421053,1.4210526315789473,12.710526315789474,4.815789473684211,4.881578947368421,8.828947368421053,1.644736842105263,0.05263157894736842,1.3421052631578947,1.5263157894736843,10.355263157894736,4.026315789473684,4.092105263157895,9.960526315789474,1.855263157894737,0.039473684210526314
Brighton,1.4526315789473685,1.2526315789473683,15.989473684210527,5.168421052631579,6.421052631578948,11.4,1.7473684210526317,0.031578947368421054,1.4421052631578948,1.5263157894736843,12.263157894736842,4.568421052631579,4.621052631578947,10.68421052631579,1.7894736842105263,0.11578947368421053
Burnley,0.8947368421052632,1.6666666666666667,11.929824561403509,3.6666666666666665,5.2631578947368425,10.263157894736842,1.4912280701754386,0.017543859649122806,1.0,1.5964912280701755,9.543859649122806,3.2982456140350878,4.157894736842105,10.87719298245614,1.7894736842105263,0.14035087719298245
Chelsea,1.7578947368421052,1.0842105263157895,16.0,5.842105263157895,6.421052631578948,11.010526315789473,1.9473684210526316,0.05263157894736842,1.5368421052631578,1.2526315789473683,13.23157894736842,4.8,5.336842105263158,11.305263157894737,2.1578947368421053,0.07368421052631578
Crystal Palace,1.3578947368421053,1.305263157894737,12.16842105263158,4.168421052631579,4.7894736842105265,11.221052631578948,1.768421052631579,0.07368421052631578,1.1578947368421053,1.5368421052631578,10.547368421052632,3.9263157894736844,4.294736842105263,11.336842105263157,1.8421052631578947,0.05263157894736842
Everton,1.2105263157894737,1.2736842105263158,12.452631578947368,4.3578947368421055,4.947368421052632,10.189473684210526,1.8526315789473684,0.09473684210526316,0.9578947368421052,1.5263157894736843,10.48421052631579,3.473684210526316,3.9368421052631577,11.25263157894737,2.0631578947368423,0.042105263157894736
Fulham,1.2894736842105263,1.4605263157894737,13.039473684210526,4.2368421052631575,5.368421052631579,10.710526315789474,1.736842105263158,0.07894736842105263,1.2236842105263157,1.4473684210526316,11.855263157894736,4.131578947368421,4.7105263157894735,11.802631578947368,2.25,0.05263157894736842
Ipswich,0.7368421052631579,2.3157894736842106,10.947368421052632,3.5789473684210527,4.105263157894737,10.210526315789474,1.7894736842105263,0.10526315789473684,1.1578947368421053,2.0,8.842105263157896,3.1052631578947367,3.526315789473684,12.421052631578947,2.6315789473684212,0.15789473684210525
Leeds,1.280701754385965,1.6842105263157894,13.75438596491228,4.5964912280701755,5.701754385964913,12.228070175438596,2.175438596491228,0.07017543859649122,1.3859649122807018,2.017543859649123,12.070175438596491,4.140350877192983,4.87719298245614,11.491228070175438,2.1228070175438596,0.05263157894736842
Leicester,1.394736842105263,1.5,11.421052631578947,4.25,4.631578947368421,10.592105263157896,1.513157894736842,0.02631578947368421,1.4210526315789473,1.881578947368421,10.56578947368421,3.8684210526315788,4.25,10.5,1.894736842105263,0.013157894736842105
Liverpool,2.263157894736842,0.8315789473684211,19.378947368421052,6.778947368421052,7.463157894736842,10.789473684210526,1.3578947368421053,0.042105263157894736,2.042105263157895,1.2421052631578948,16.210526315789473,5.747368421052632,6.442105263157894,10.852631578947369,1.5473684210526315,0.06315789473684211
Luton,1.4736842105263157,1.9473684210526316,13.894736842105264,4.421052631578948,6.631578947368421,11.631578947368421,1.9473684210526316,0.0,1.263157894736842,2.526315789473684,8.789473684210526,3.0,4.105263157894737,11.68421052631579,1.7894736842105263,0.0
Man City,2.6842105263157894,0.9263157894736842,17.768421052631577,6.4526315789473685,7.757894736842105,8.48421052631579,1.1789473684210525,0.05263157894736842,1.9894736842105263,0.8526315789473684,16.11578947368421,6.042105263157895,6.336842105263158,8.378947368421052,1.3368421052631578,0.031578947368421054
Man United,1.6842105263157894,1.2210526315789474,15.74736842105263,5.589473684210526,6.063157894736842,10.421052631578947,1.894736842105263,0.05263157894736842,1.3578947368421053,1.4736842105263157,12.652631578947368,4.726315789473684,4.6421052631578945,11.48421052631579,2.1052631578947367,0.031578947368421054
Newcastle,1.8631578947368421,1.2210526315789474,15.157894736842104,5.126315789473685,5.71578947368421,10.663157894736843,1.7473684210526317,0.06315789473684211,1.4105263157894736,1.5789473684210527,11.063157894736841,4.073684210526316,4.831578947368421,10.010526315789473,1.8421052631578947,0.010526315789473684
Norwich,0.631578947368421,2.263157894736842,10.68421052631579,3.3157894736842106,5.2631578947368425,9.736842105263158,1.5263157894736843,0.0,0.5789473684210527,2.1578947368421053,9.0,2.4210526315789473,3.4210526315789473,9.0,1.368421052631579,0.10526315789473684
Nott'm Forest,1.4035087719298245,1.2280701754385965,11.964912280701755,4.017543859649122,3.736842105263158,10.807017543859649,1.8771929824561404,0.03508771929824561,1.1403508771929824,1.9473684210526316,10.526315789473685,3.56140350877193,3.912280701754386,11.368421052631579,2.4035087719298245,0.05263157894736842
Sheffield United,0.8157894736842105,2.210526315789474,10.289473684210526,3.4473684210526314,4.447368421052632,11.447368421052632,2.1052631578947367,0.10526315789473684,0.631578947368421,2.1842105263157894,7.947368421052632,2.5526315789473686,3.789473684210526,11.763157894736842,2.263157894736842,0.10526315789473684
Southampton,1.0921052631578947,1.75,11.25,4.184210526315789,4.697368421052632,11.052631578947368,1.5394736842105263,0.06578947368421052,0.9078947368421053,2.1184210526315788,10.657894736842104,3.5657894736842106,4.7894736842105265,11.539473684210526,2.1052631578947367,0.039473684210526314
Tottenham,1.9263157894736842,1.3263157894736841,14.48421052631579,5.6421052631578945,6.126315789473685,11.536842105263158,1.7894736842105263,0.042105263157894736,1.7052631578947368,1.5578947368421052,12.189473684210526,4.6,4.863157894736842,10.76842105263158,1.9263157894736842,0.07368421052631578
Watford,0.8947368421052632,2.4210526315789473,11.368421052631579,3.6315789473684212,4.421052631578948,11.31578947368421,1.736842105263158,0.05263157894736842,0.8947368421052632,1.631578947368421,9.473684210526315,3.0526315789473686,4.105263157894737,11.842105263157896,1.263157894736842,0.10526315789473684
West Brom,0.7894736842105263,2.0526315789473686,9.157894736842104,3.1052631578947367,5.2631578947368425,10.789473684210526,1.368421052631579,0.10526315789473684,1.0526315789473684,1.9473684210526316,8.736842105263158,2.789473684210526,2.3684210526315788,10.473684210526315,1.3157894736842106,0.10526315789473684
West Ham,1.5263157894736843,1.4105263157894736,12.378947368421052,4.2105263157894735,5.010526315789473,9.91578947368421,1.5789473684210527,0.031578947368421054,1.3157894736842106,1.631578947368421,11.842105263157896,3.831578947368421,4.336842105263158,10.0,1.5052631578947369,0.09473684210526316
Wolves,1.1894736842105262,1.3894736842105264,12.042105263157895,4.221052631578948,5.073684210526316,11.6,2.0,0.08421052631578947,1.0105263157894737,1.631578947368421,10.43157894736842,3.5052631578947366,4.08421052631579,11.663157894736843,1.8631578947368421,0.05263157894736842
